id,Nombre,Img,cats,Beneficios,Tags,Forma,Tamaño,notaAdvertencia,familia
102016,Caléndula,Assets\Images\Calendula.webp,Piel sensible,"|||Aporta sensación de calma y confort tras el baño, ideal para rutinas suaves.|||Base de glicerina: limpieza gentil, enjuague fácil, sin residuo pegajoso.|||Espuma ligera pensada para uso diario y para piel que se irrita con facilidad.|||Perfil neutro y amable; opción cuando se buscan aromas discretos o nulos.|||Deja la piel con tacto suave y menos sensación de tirantez post-ducha.",AL,solido,100 g,Precaución en personas alérgicas a Asteraceae. Haz prueba de parche en piel muy reactiva.,Jabon solido
102017,Canela,Assets\Images\Canela.webp,Aromáticos,"|||Aroma cálido y especiado que da sensación acogedora tipo “baño de invierno”.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Perfil estimulante que anima la rutina matutina sin volverse empalagoso.|||Espuma cremosa que deja tacto mas confortable tras el secado.|||Combina bien con climas frios o noches donde buscas una fragancia envolvente.","NS, AL",solido,100 g,"Puede irritar piel reactiva o zonas sensibles. Evita rostro/ojos y mucosas. Haz prueba de parche; si irrita, suspende. No recomendado para niños pequeños.",Jabon solido
102018,Carbón activado,Assets\Images\Carbon_Activado.webp,Astringente,"|||Limpieza profunda con sensación purificante; ayuda a que la piel se sienta menos grasa al terminar.|||Con uso constante, da una apariencia mas mate y uniforme.|||Base de glicerina: enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal en rutinas diurnas para piel mixta/grasa.|||Buen “reset” después de actividades o calor excesivo.","NS, AL",solido,100 g,"Puede resecar en piel seca o muy reactiva. Evita el contorno de ojos y zonas irritadas. Si sientes tirantez, reduce frecuencia (dia por medio).",Jabon solido
102019,CBD,Assets\Images\CBD.webp,Aromáticos,"|||Limpieza suave con base de glicerina; enjuague fácil, sin sensación pegajosa.|||Perfil confort: sensación agradable post-ducha, ideal para rutina nocturna.|||Si usas aceites portadore aporta toque emoliente y deja tacto mas flexible.|||Espuma ligera/cremosa que no satura, pensada para uso cotidiano del cuerpo.","NS, AL",solido,100 g,"No recomendado para piel muy reactiva. Evita el contorno de ojos. Haz prueba de parche; si irrita, suspende.",Jabon solido
102020,Chocolate,Assets\Images\Chocolate.webp,Aromáticos,"|||Aroma gourmand cálido tipo cacao que vuelve el baño reconfortante.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Deja tacto mas flexible; buena opción para piel normal a seca.|||Espuma cremosa ideal para rutina nocturna o climas frios.|||Perfil sensorial envolvente sin llegar a empalagar.","NS, AL",solido,100 g,"Evita en piel muy reactiva y el contorno de ojos, usar max. 2–3 veces/semana.",Jabon solido
102021,Cítricos,Assets\Images\Citricos.webp,Astringente,"|||Aroma brillante y fresco (limón/naranja/toronja) que activa la rutina matutina.|||Astringencia ligera: deja sensación menos brillante después del lavado.|||Base de glicerina: limpieza suave, enjuague fácil, sin sensación pegajosa.|||Espuma ligera pensada para uso diurno en piel normal/mixta.|||Perfil refrescante ideal en climas cálidos o después de actividad.","NS, AL",solido,100 g,No recomendado para piel muy reactiva. Evita contorno de ojos y haz prueba de parche.,Jabon solido
102022,Coco,Assets\Images\Coco.webp,Aromáticos,"|||Aroma tropical cremoso que convierte la ducha en un momento reconfortante.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||sensación emoliente que deja el tacto mas flexible tras el secado.|||Espuma cremosa, ideal para rutina nocturna o climas secos.|||Perfil sensorial cálido que acompaña sin volverse invasivo.","NS, AL",solido,100 g,No recomendado para piel muy reactiva. Evita contorno de ojos y haz prueba de parche.,Jabon solido
102023,Concha nacar,Assets\Images\Concha_nacar.webp,Exfoliante,"|||Exfoliación mineral suave (polvo finamente molido) que ayuda a pulir textura y dejar tacto mas liso.|||Con uso regular, la piel luce mas uniforme y luminosa.|||Base de glicerina: limpieza amable con enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para cuerpo y zonas asperas (codos, rodillas).|||Buen complemento 2–3 veces por semana en rutinas que buscan suavidad al tacto.","NS, AL",solido,100 g,"Evita rostro/ojos, piel irritada o muy reactiva. usalo max. 2–3 veces/semana para no sobre-exfoliar y haz prueba de parche.",Jabon solido
102024,Glicerina con Leche,Assets\Images\Piel_diabetica.webp,Aromáticos,"|||sensación cremosa y confortable durante la ducha.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Deja el tacto mas flexible tras el secado sin fricción.|||Espuma suave/cremosa, ideal para rutina nocturna o climas secos.|||Perfil sensorial cálido, discreto y reconfortante.","NS, AL",solido,100 g,Contiene derivados lácteos. Evitar en personas con alergia a la leche y en piel muy reactiva y haz prueba de parche.,Jabon solido
102025,Glicerina,Assets\Images\Glicerina.png,Piel sensible,"|||Limpieza amable con base de glicerina, pensada para uso cotidiano.|||Enjuaguerápido, sin sensación pegajosa.|||Espuma ligera que no satura la piel.|||Deja tacto cómodo y apariencia limpia.|||Opción neutra cuando no quieres botánicos intensos.",AL,solido,100 g,,Jabon solido
102026,Lavanda,Assets\Images\Lavanda.webp,Aromáticos,"|||Aroma floral-relajante tipo spa, ideal para rutina nocturna.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo tras el secado.|||Acompaña una sensación de desconexión al final del dia.|||Perfil aromático suave.","NS, AL",solido,100 g,Evitar en piel muy reactiva y contorno de ojos. Prueba de parche.,Jabon solido
102027,Limón,Assets\Images\Limon.png,Astringente,"|||Aroma cítrico brillante que deja sensación fresca y limpia al enjuagar.|||Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para rutina diurna en piel normal/mixta.|||Perfil aromático que activa la rutina sin volverse invasivo.","NS, AL",solido,100 g,No recomendado para piel muy reactiva. Evita el contorno de ojos. Haz prueba de parche.,Jabon solido
102028,Manzana y canela,Assets\Images\Manzana_canela.webp,Aromáticos,"|||Aroma cálido y especiado que vuelve la ducha reconfortante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa con tacto confortable tras el secado.|||Ideal para rutina nocturna o climas frios por su perfil envolvente.|||opción sensorial para quien busca una fragancia gourmand sin empalagar.","NS, AL",solido,100 g,"Puede irritar piel muy reactiva. Evita rostro/ojos y mucosas. Haz prueba de parche; si irrita, suspende. Usar max. 2–3 veces/semana.",Jabon solido
102029,Manzanilla,Assets\Images\Manzanilla.webp,Piel sensible,"|||Sensación de calma y confort tras el baño, pensada para rutinas suaves.|||Base de glicerina: limpieza gentil, enjuague fácil, sin sensación pegajosa.|||Espuma ligera para uso diario en piel que se irrita con facilidad.|||Ayuda a disminuir la sensación de tirantez post-ducha.|||Perfil neutro y amable.",AL,solido,100 g,Precaución en personas con alergia a Asteraceae. Prueba de parche en piel muy reactiva.,Jabon solido
102032,Miel,Assets\Images\Miel.webp,Aromáticos,"|||Aroma dulce y reconfortante que hace la ducha mas agradable.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Deja tacto mas flexible y sensación de confort tras el secado.|||Espuma cremosa, ideal para rutina nocturna o climas secos.|||Perfil sensorial cálido que acompaña sin volverse invasivo.","NS, AL",solido,100 g,Evitar en personas con alergia a productos de abeja y en piel muy reactiva. Se recomienda prueba de parche. No usar en contorno de ojos.,Jabon solido
102033,Romero,Assets\Images\Romero.webp,Astringente,"|||Aroma herbal fresco que deja sensación limpia y despejada tras el enjuague.|||Astringencia ligera: ayuda a que la piel se sienta menos brillante después del baño.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para rutina diurna o post-actividad.|||Perfil aromático que activa sin volverse invasivo ","NS, AL",solido,100 g,"Puede contener alergenos aromáticos; no recomendado para piel muy reactiva. Evita contorno de ojos y mucosas. Prueba de parche; si irrita, suspende.",Jabon solido
102034,Romero y sándalo,Assets\Images\Romero_Sandalo.webp,Astringente,"|||Aroma herbal–amaderado: romero fresco + sándalo cálido/terroso para una ducha equilibrante.|||Base de glicerina: limpieza amable, enjuague fácil, sin sensación pegajosa.|||Astringencia ligera del romero: piel se siente menos brillante tras el lavado.|||Espuma ligera/cremosa que no satura; funciona bien de dia (despeje) o de noche (confort).|||Perfil aromático elegante que acompaña sin volverse invasivo.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. No recomendado para piel muy reactiva. Evita contorno de ojos. Haz prueba de parche; si irrita, suspende.",Jabon solido
102035,"Romero, sándalo y castaña de indias",Assets\Images\Romero_Sandalo.webp,Astringente,"|||Aroma herbal–amaderado con matiz nuez: romero fresco, sándalo cálido y castaña de Indias para una ducha equilibrante y con caracter.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Astringencia ligera: la piel se siente mas fresca y con menos brillo tras el lavado.|||Espuma ligera/cremosa que no satura; funciona bien de dia (despeje) o de noche (confort).|||Perfil sensorial elegante y reconfortante, sin volverse invasivo","NS, AL",solido,100 g,"No recomendado para piel muy reactiva. Evitar rostro/contorno de ojos y piel lesionada. Prueba de parche; si irrita, suspende.",Jabon solido
102036,Rosa de Castilla,Assets\Images\Rosa_castilla.webp,Aromáticos,"|||Aroma floral elegante que convierte la ducha en un momento relajante.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Deja tacto cómodo y una sensación de piel fresca al secar.|||Espuma ligera/cremosa ideal para una rutina nocturna tipo spa.|||Perfil aromático sofisticado que acompaña sin invadir.","NS, AL",solido,100 g,"Fragancia floral; puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102037,Ruda,Assets\Images\Ruda.webp,Astringente,"|||Aroma herbal intenso que deja una sensación de limpieza y despeje.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera ideal para una rutina diurna.|||Perfil aromático verde que acompaña sin volverse empalagoso.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102038,Sándalo,Assets\Images\Sandalo.png,Aromáticos,"|||Aroma amaderado y cálido que vuelve la ducha reconfortante.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa/ligera que deja tacto cómodo al secar.|||Perfil elegante y sereno, ideal para rutina nocturna.|||Acompaña una sensación de bienestar sin invadir el ambiente.","NS, AL",solido,100 g,"Fragancia amaderada; puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102039,Tepezcohuite,Assets\Images\Tepezcohuite.webp,Astringente,"|||sensación purificante y de limpieza profunda al enjuagar.|||Ayuda a que la piel se sienta mas mate y con textura mas uniforme con el uso constante.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para piel mixta/grasa en rutina diurna.|||Exfoliación suave para zonas asperas (codos, rodillas).","NS, AL",solido,100 g,Evita contorno de ojos y piel irritada. Usar 2–3 veces por semana.,Jabon solido
102040,Toronja y romero,Assets\Images\Toronja_romero.png,Astringente,"|||Aroma cítrico–herbal que deja una sensación fresca y despejada.|||Astringencia ligera: la piel se siente con menos brillo tras el lavado.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera, ideal para rutina diurna o después de actividad.|||Perfil aromático activo que anima la ducha sin volverse invasivo.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: haz prueba de parche; si irrita, suspende.",Jabon solido
102041,Vainilla,Assets\Images\Vainilla.webp,Aromáticos,"|||Aroma gourmand suave y reconfortante que envuelve sin empalagar.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo tras el secado.|||Ideal para rutina nocturna o climas secos por su perfil cálido.|||opción sensorial relajante para quien busca un baño “tipo postre”.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102042,Vino tinto y rosas,Assets\Images\Vino_tinto_rosas.webp,Aromáticos,"|||Aroma floral–frutal elegante: rosas suaves con un toque vino tinto para una ducha sofisticada.|||Deja sensación fresca y una piel con menos brillo al terminar.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que aporta confort al secar.|||Perfil sensorial romántico que acompaña sin invadir el ambiente.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, realiza prueba de parche; si irrita, suspende.",Jabon solido
102043,Vitamina E,Assets\Images\Vitamina_e.webp,Aromáticos,|||Limpieza suave con base de glicerina y enjuague fácil.|||Con vitamina E (antioxidante) que acompaña una sensación de suavidad tras el baño.|||Espuma ligera/cremosa que no satura la piel.|||Deja tacto cómodo y flexible al secar sin fricción.|||opción neutra si vas con aroma discreto,AL,solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102044,Abre Caminos con miel,Assets\Images\Abre_caminos_miel.webp,Astringente,"|||Aroma herbal intenso con toque dulce que convierte la ducha en un momento reconfortante.|||sensación fresca y de limpieza al enjuagar.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo.|||Ideal para quienes buscan un perfil verde con un matiz cálido de miel.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102045,Aloe vera y árnica,Assets\Images\AloeVeraArnica.png,Astringente,|||sensación refrescante del aloe en una limpieza suave y de enjuague fácil.|||Aroma herbal con toque verde que deja sensación limpia al terminar.|||Espuma ligera/cremosa que no satura y aporta confort en la ducha.|||Ideal para quienes disfrutan perfiles verdes tipo spa.,"NS, AL",solido,100 g,"Puede contener alergenos aromáticos. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102046,Aloe vera y miel,Assets\Images\Aloe_vera.webp,Aromáticos,|||sensación fresca del aloe en una limpieza suave y de enjuague fácil.|||Toque confortable y cremoso gracias a la miel.|||Espuma ligera/cremosa que deja tacto cómodo al secar.|||Ideal para quien busca un perfil dulce–herbal sin resultar empalagoso.|||Perfecto para una rutina nocturna o climas secos.,"NS, AL",solido,100 g,"Contiene derivados de abeja; si tu piel es muy reactiva, realiza prueba de parche. Evita el contorno de ojos. Si irrita, suspende.",Jabon solido
102047,Aloe vera con Vitamina E,Assets\Images\AloeVeraCVitaminaE.png,Piel sensible,"|||Hidratacion y confort: aloe que ayuda a reducir la sensación de tirantez tras el baño.|||Con vitamina E (antioxidante) para una sensación de suavidad al tacto.|||Base de glicerina: limpieza gentil y enjuague fácil, sin residuo pegajoso.|||Espuma ligera pensada para uso diario.|||Perfil neutro y amable, ideal cuando no quieres aromas intensos.",S,solido,100 g,"Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102048,Árnica y Vitamina E,Assets\Images\Arnica_vitamina_e.webp,Astringente,"|||Aroma herbal que acompaña la ducha con una sensación fresca.|||Vitamina E (antioxidante) que aporta sensación de suavidad al tacto.|||Base de glicerina: limpieza suave y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo.|||Perfil tipo spa verde para quienes disfrutan notas botánicas marcadas.","NS, AL",solido,100 g,"Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102049,Arroz exfoliante,Assets\Images\Exfoliante_arroz.webp,Exfoliante,"|||Exfoliación física suave con arroz molido: ayuda a remover células muertas y a mejorar el tacto.|||Deja la piel mas lisa en zonas asperas (codos, rodillas, talones).|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que no satura.|||Perfecto como complemento 2–3 veces por semana.",NS,solido,120 g,Evita rostro/ojos y piel irritada.,Jabon solido
102050,Azufre,Assets\Images\Azufre.png,Exfoliante,"|||Limpieza profunda con sensación purificante al enjuagar.|||Ayuda a que la piel se sienta menos brillante y con textura mas uniforme con uso constante.|||Base de glicerina: enjuague fácil, sin sensación pegajosa.|||Espuma ligera, pensada para piel mixta/grasa en rutina diurna.|||opción ideal cuando buscas un reset después de calor o actividad.","NS, AL",solido,100 g,"Puede resecar en piel sensible. Evita rostro y contorno de ojos. usalo max. 1 vez al dia (o dias alternos si notas tirantez). Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102051,Durazno,Assets\Images\Durazno.webp,Aromáticos,"|||Aroma frutal jugoso que vuelve la ducha fresca y alegre.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que deja tacto cómodo al secar.|||Perfil dulce y suave que acompaña sin empalagar.|||Ideal para rutina diurna o climas cálidos.","NS, AL",solido,100 g,"Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102052,Eucalipto con Bugambilia y Menta,Assets\Images\Euca_Buga_Men.png,Aromáticos,"|||Sensación fresca y vigorizante: menta + eucalipto para un baño que despeja.|||Astringencia ligera: la piel se siente con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera ideal para rutina diurna o después de actividad.|||Toque floral de bugambilia que suaviza el perfil herbal sin invadir.","NS, AL",solido,100 g,"Evita contorno de ojos y mucosas. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102053,"Gengibre con limón, curcuma y canela",Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma cítrico–especiado que activa la rutina y deja sensación fresca.|||Astringencia ligera: piel con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que acompaña sin empalagar.|||Perfil sensorial energizante ideal para la mañana.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos y compuestos fotosensibilizantes. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102054,"Gengibre con naranja, curcuma y canela",Assets\Images\Img_ndisponible.webp,Aromáticos,"|||Aroma cítrico–especiado (naranja + jengibre) que activa y deja sensación fresca.|||Astringencia ligera: piel con menos brillo tras el lavado.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma ligera/cremosa que acompaña sin empalagar.|||Perfil sensorial energizante ideal para la mañana o climas cálidos.","NS, AL",solido,100 g,"Puede contener alergenos aromáticos y compuestos fotosensibilizantes. Evita el contorno de ojos. Piel muy reactiva: prueba de parche; si irrita, suspende.",Jabon solido
102055,Miel con canela,Assets\Images\Miel_Canela.webp,Aromáticos,"|||Aroma dulce-especiado que vuelve la ducha reconfortante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo tras el secado.|||Perfil cálido ideal para rutina nocturna o climas frescos.|||Combina nota miel con toque canela sin empalagar","NS, AL",solido,100 g,"Contiene derivados de abeja y fragancia especiada; puede incluir alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, haz prueba de parche; si irrita, suspende.",Jabon solido
102056,Miel con canela y pétalos de rosa,Assets\Images\Miel_canela_petalos.png,Exfoliante,"|||Aroma dulce–floral con toque especiado que vuelve la ducha reconfortante y elegante.|||Base de glicerina: limpieza amable y enjuague fácil, sin sensación pegajosa.|||Espuma cremosa que deja tacto cómodo al secar.|||Los petalos de rosa aportan un detalle sensorial y visual tipo spa.|||Ideal para rutina nocturna o climas frescos.","NS, AL",solido,100 g,"Puede incluir alergenos aromáticos. Evita el contorno de ojos. Si tu piel es muy reactiva, realiza prueba de parche; si irrita, suspende.",Jabon solido
